rank,lemma,pos,total_count,doc_frequency,is_stopword,is_proper_noun
16406,unamuse,VERB,2,2,0,0
16407,materialism,NOUN,2,2,0,0
16408,Leaving,PROPN,2,2,0,1
16409,repent,NOUN,2,2,0,0
16410,employing,NOUN,2,2,0,0
16411,sophism,NOUN,2,2,0,0
16412,foil,VERB,2,2,0,0
16413,compare,NOUN,2,2,0,0
16414,downright,NOUN,2,2,0,0
16415,ouch,ADJ,2,2,0,0
16416,fiercer,NOUN,2,2,0,0
16417,Solon,PROPN,2,2,0,1
16418,reproduction,NOUN,2,2,0,0
16419,conclusive,ADJ,2,2,0,0
16420,ornament,VERB,2,2,0,0
16421,impressible,ADJ,2,2,0,0
16422,disparagingly,ADV,2,2,0,0
16423,Herculean,PROPN,2,2,0,1
16424,dissemble,VERB,2,2,0,0
16425,cite,VERB,2,2,0,0
16426,cognizance,NOUN,2,2,0,0
16427,emphatically,ADV,2,2,0,0
16428,plainer,ADJ,2,2,0,0
16429,wantonness,ADJ,2,2,0,0
16430,detraction,NOUN,2,2,0,0
16431,inasmuch,ADV,2,2,0,0
16432,know,NOUN,2,2,0,0
16433,whichever,PRON,2,2,0,0
16434,diver,NOUN,2,2,0,0
16435,impute,VERB,2,2,0,0
16436,kinsman,NOUN,2,2,0,0
16437,injurer,NOUN,2,2,0,0
16438,corrupted,ADJ,2,2,0,0
16439,perjury,NOUN,2,2,0,0
16440,overpower,VERB,2,2,0,0
16441,condemnation,NOUN,2,2,0,0
16442,magistracy,NOUN,2,2,0,0
16443,Eleven,PROPN,2,2,1,1
16444,grievous,ADJ,2,2,0,0
16445,proportion,VERB,2,2,0,0
16446,mina,PROPN,2,2,0,1
16447,unsaid,ADJ,2,2,0,0
16448,migration,NOUN,2,2,0,0
16449,pilgrim,NOUN,2,2,0,0
16450,infinite,NOUN,2,2,0,0
16451,tawny,ADJ,2,1,0,0
16452,lakh,NOUN,2,1,0,0
16453,pock,NOUN,2,1,0,0
16454,Ali,PROPN,2,1,0,1
16455,hardworking,ADJ,2,1,0,0
16456,uplift,VERB,2,1,0,0
16457,Superintendent,PROPN,2,1,0,1
16458,nationalism,NOUN,2,1,0,0
16459,accuse,NOUN,2,1,0,0
16460,other,PROPN,2,1,1,1
16461,ingaleik,NOUN,2,1,0,0
16462,paso,PROPN,2,1,0,1
16463,woebegone,ADJ,2,1,0,0
16464,liverish,ADJ,2,1,0,0
16465,hollyhock,NOUN,2,1,0,0
16466,petunias,NOUN,2,1,0,0
16467,hibiscus,NOUN,2,1,0,0
16468,bilious,ADJ,2,1,0,0
16469,pout,VERB,2,1,0,0
16470,sambhur,PROPN,2,1,0,1
16471,sot,NOUN,2,1,0,0
16472,missus,NOUN,2,1,0,0
16473,Oriental,PROPN,2,1,0,1
16474,babu,PROPN,2,1,0,1
16475,kneed,NOUN,2,1,0,0
16476,Woking,PROPN,2,1,0,1
16477,contourless,NOUN,2,1,0,0
16478,sighing,ADJ,2,1,0,0
16479,stiffly,VERB,2,1,0,0
16480,Aryans,PROPN,2,1,0,1
16481,blackball,VERB,2,1,0,0
16482,Paget,PROPN,2,1,0,1
16483,colore,NOUN,2,1,0,0
16484,petal,ADJ,2,1,0,0
16485,Gurkha,PROPN,2,1,0,1
16486,bagpipe,NOUN,2,1,0,0
16487,planter,NOUN,2,1,0,0
16488,civilize,VERB,2,1,0,0
16489,Pox,PROPN,2,1,0,1
16490,cholera,NOUN,2,1,0,0
16491,was,VERB,2,1,0,0
16492,servility,NOUN,2,1,0,0
16493,Precepts,PROPN,2,1,0,1
16494,slippery,NOUN,2,1,0,0
16495,woodfire,NOUN,2,1,0,0
16496,Maung,PROPN,2,1,0,1
16497,Tennis,PROPN,2,1,0,1
16498,blue,PROPN,2,1,0,1
16499,starch,VERB,2,1,0,0
16500,collarless,NOUN,2,1,0,0
16501,bo,NOUN,2,1,0,0
16502,lechery,NOUN,2,1,0,0
16503,peepul,PROPN,2,1,0,1
16504,recrosse,VERB,2,1,0,0
16505,Bullock,PROPN,2,1,0,1
16506,saya,PROPN,2,1,0,1
16507,shikoing,NOUN,2,1,0,0
16508,relighte,VERB,2,1,0,0
16509,thugyi,NOUN,2,1,0,0
16510,min,NOUN,2,1,0,0
16511,Mug,PROPN,2,1,0,1
16512,undersigned,ADJ,2,1,0,0
16513,Togo,PROPN,2,1,0,1
16514,bum,PROPN,2,1,0,1
16515,formative,ADJ,2,1,0,0
16516,teak,NOUN,2,1,0,0
16517,acclimatize,VERB,2,1,0,0
16518,monsoon,NOUN,2,1,0,0
16519,covert,ADJ,2,1,0,0
16520,monk,NOUN,2,1,0,0
16521,Colombo,PROPN,2,1,0,1
16522,bloc,NOUN,2,1,0,0
16523,stringy,ADJ,2,1,0,0
16524,eschew,VERB,2,1,0,0
16525,mottled,ADJ,2,1,0,0
16526,Englishwomen,PROPN,2,1,0,1
16527,moustachioed,ADJ,2,1,0,0
16528,classifiable,ADJ,2,1,0,0
16529,poulterer,NOUN,2,1,0,0
16530,Highbrow,PROPN,2,1,0,1
16531,spinsterhood,NOUN,2,1,0,0
16532,jaldi,ADV,2,1,0,0
16533,maidan,NOUN,2,1,0,0
16534,gangway,NOUN,2,1,0,0
16535,missie,NOUN,2,1,0,0
16536,saurian,ADJ,2,1,0,0
16537,castanet,NOUN,2,1,0,0
16538,roadway,NOUN,2,1,0,0
16539,Myaype,PROPN,2,1,0,1
16540,nasally,ADV,2,1,0,0
16541,longyi,PROPN,2,1,0,1
16542,pannier,NOUN,2,1,0,0
16543,twisting,NOUN,2,1,0,0
16544,marionette,NOUN,2,1,0,0
16545,Bravo,PROPN,2,1,0,1
16546,Wimpole,PROPN,2,1,0,1
16547,seeking,NOUN,2,1,0,0
16548,cigar,ADJ,2,1,0,0
16549,handcart,NOUN,2,1,0,0
16550,Surgeons,PROPN,2,1,0,1
16551,Compounder,PROPN,2,1,0,1
16552,obscene,VERB,2,1,0,0
16553,pucker,VERB,2,1,0,0
16554,stubble,NOUN,2,1,0,0
16555,jungle,ADJ,2,1,0,0
16556,forepaw,NOUN,2,1,0,0
